number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
108,0.9810856276901678,2026-02-14 21:30:55.571838,2026-02-14 21:30:56.879708,0 days 00:00:01.307870,0.9289769368214527,0.14568784474358837,7,208,0.808698722631791,COMPLETE
109,0.9811040298371438,2026-02-14 21:30:56.879708,2026-02-14 21:30:58.126158,0 days 00:00:01.246450,0.9948000053781962,0.22813486538652744,6,220,0.9207281583245962,COMPLETE
110,0.9803593471410231,2026-02-14 21:30:58.126158,2026-02-14 21:30:59.394634,0 days 00:00:01.268476,0.9147200111638347,0.1218465199300082,6,190,0.862319285206958,COMPLETE
111,0.9817734187002156,2026-02-14 21:30:59.394634,2026-02-14 21:31:00.858008,0 days 00:00:01.463374,0.9216436076660836,0.16787256866737887,10,202,0.9412209753751367,COMPLETE
112,0.981089368216178,2026-02-14 21:31:00.858008,2026-02-14 21:31:02.166756,0 days 00:00:01.308748,0.9051064649866642,0.21935661535514112,8,226,0.6723409360442576,COMPLETE
113,0.9762799167642241,2026-02-14 21:31:02.166756,2026-02-14 21:31:03.691098,0 days 00:00:01.524342,0.8934768128232472,0.022168357163996236,6,182,0.8179828289531407,COMPLETE
114,0.9824099310124925,2026-02-14 21:31:03.691098,2026-02-14 21:31:04.950719,0 days 00:00:01.259621,0.9059956194157754,0.26889964387319604,7,234,0.6910443383852309,COMPLETE
115,0.9826049023214191,2026-02-14 21:31:04.950719,2026-02-14 21:31:06.231690,0 days 00:00:01.280971,0.936920248664759,0.25601790132268004,7,235,0.8424503187549348,COMPLETE
116,0.9805761341654634,2026-02-14 21:31:06.233692,2026-02-14 21:31:07.502855,0 days 00:00:01.269163,0.9359029882515864,0.2996405025566474,7,239,0.6854640350614989,COMPLETE
117,0.9809427855291982,2026-02-14 21:31:07.502855,2026-02-14 21:31:08.713717,0 days 00:00:01.210862,0.9783059535699357,0.2656155837514021,7,229,0.694785779880917,COMPLETE
118,0.9815886061160892,2026-02-14 21:31:08.713717,2026-02-14 21:31:10.091372,0 days 00:00:01.377655,0.9469262887694735,0.19480389198987208,7,247,0.8429735528899075,COMPLETE
119,0.9808023406676547,2026-02-14 21:31:10.093364,2026-02-14 21:31:11.299855,0 days 00:00:01.206491,0.9541243908978232,0.24934045774016914,7,236,0.8264681422705695,COMPLETE
120,0.9806756961618683,2026-02-14 21:31:11.299855,2026-02-14 21:31:12.428167,0 days 00:00:01.128312,0.8609408061500764,0.26690980957567123,7,218,0.8000125249102354,COMPLETE
121,0.9803579540358347,2026-02-14 21:31:12.429673,2026-02-14 21:31:13.909428,0 days 00:00:01.479755,0.9077863732336215,0.15731810948876374,6,232,0.8692591184952457,COMPLETE
122,0.9811787901038922,2026-02-14 21:31:13.909428,2026-02-14 21:31:15.189324,0 days 00:00:01.279896,0.9323497906039183,0.2226786660766659,8,225,0.8322216854881984,COMPLETE
123,0.9806218367829331,2026-02-14 21:31:15.189324,2026-02-14 21:31:16.523008,0 days 00:00:01.333684,0.6052061388852307,0.1736742227152386,7,266,0.8530084358395918,COMPLETE
124,0.9801333934033462,2026-02-14 21:31:16.523008,2026-02-14 21:31:18.021806,0 days 00:00:01.498798,0.920683451949595,0.10243727025614548,6,239,0.8935324095878908,COMPLETE
125,0.9807346701155477,2026-02-14 21:31:18.023796,2026-02-14 21:31:19.102052,0 days 00:00:01.078256,0.8791301903887532,0.14208940928322025,4,244,0.7179379840424907,COMPLETE
126,0.9812132510364686,2026-02-14 21:31:19.104054,2026-02-14 21:31:20.371963,0 days 00:00:01.267909,0.9022717242697986,0.19617287804989547,7,233,0.8793076700533133,COMPLETE
127,0.9815737095512322,2026-02-14 21:31:20.372966,2026-02-14 21:31:21.740379,0 days 00:00:01.367413,0.9403884269265431,0.11797342360722941,6,211,0.7862445390515169,COMPLETE
128,0.9822477153208167,2026-02-14 21:31:21.740379,2026-02-14 21:31:22.922607,0 days 00:00:01.182228,0.9680143729998646,0.21379649921113736,5,250,0.8067012476025395,COMPLETE
129,0.9836778191672456,2026-02-14 21:31:22.922607,2026-02-14 21:31:24.124579,0 days 00:00:01.201972,0.9684519468191977,0.23709283253114735,5,252,0.804953251892356,COMPLETE
130,0.9825643274537523,2026-02-14 21:31:24.124579,2026-02-14 21:31:25.388865,0 days 00:00:01.264286,0.9705760383414679,0.23740576714361872,5,259,0.8109185373202207,COMPLETE
131,0.9811064583015208,2026-02-14 21:31:25.388865,2026-02-14 21:31:26.652570,0 days 00:00:01.263705,0.9830940516465536,0.2770728452120825,5,284,0.8091225950852704,COMPLETE
132,0.9819631309405521,2026-02-14 21:31:26.654572,2026-02-14 21:31:27.934118,0 days 00:00:01.279546,0.9694326649612397,0.22985910612525867,5,252,0.8191174605738235,COMPLETE
133,0.9817195445363325,2026-02-14 21:31:27.934118,2026-02-14 21:31:29.104687,0 days 00:00:01.170569,0.9683626169664894,0.2450412364810203,4,262,0.8207856006746521,COMPLETE
134,0.9828317967811724,2026-02-14 21:31:29.104687,2026-02-14 21:31:30.251459,0 days 00:00:01.146772,0.9629602316525533,0.2228780176455922,5,255,0.8293575060770284,COMPLETE
135,0.9821722396455677,2026-02-14 21:31:30.251459,2026-02-14 21:31:31.576602,0 days 00:00:01.325143,0.9599213404084308,0.21326038474489972,5,279,0.8416639158158195,COMPLETE
136,0.9818608548571378,2026-02-14 21:31:31.576602,2026-02-14 21:31:32.922088,0 days 00:00:01.345486,0.9590434363096163,0.2105681983571878,5,276,0.8425244855031564,COMPLETE
137,0.9817169952699718,2026-02-14 21:31:32.922088,2026-02-14 21:31:34.112403,0 days 00:00:01.190315,0.9860249791907965,0.27987239923191265,5,273,0.8329276381623947,COMPLETE
138,0.959130496183688,2026-02-14 21:31:34.112403,2026-02-14 21:31:35.415027,0 days 00:00:01.302624,0.9603931021592838,0.0010004188175979118,4,263,0.8252015525567116,COMPLETE
139,0.9812875204493567,2026-02-14 21:31:35.417029,2026-02-14 21:31:36.627542,0 days 00:00:01.210513,0.9748856190523605,0.2517110211403894,5,286,0.7973497629337408,COMPLETE
140,0.9814738726236494,2026-02-14 21:31:36.627542,2026-02-14 21:31:38.033461,0 days 00:00:01.405919,0.9912286472364042,0.18738989154189184,5,258,0.8575575733984797,COMPLETE
141,0.9809223961795487,2026-02-14 21:31:38.033461,2026-02-14 21:31:39.410418,0 days 00:00:01.376957,0.9656412583607389,0.23539594562170185,5,298,0.8168055973901484,COMPLETE
142,0.9820672760151222,2026-02-14 21:31:39.410418,2026-02-14 21:31:40.650936,0 days 00:00:01.240518,0.9730369886152178,0.21774056287500573,5,254,0.8379206023129121,COMPLETE
143,0.9825456688099209,2026-02-14 21:31:40.650936,2026-02-14 21:31:41.850933,0 days 00:00:01.199997,0.9793555277824609,0.20815819054476692,5,256,0.8454919925204465,COMPLETE
144,0.9818645470900297,2026-02-14 21:31:41.850933,2026-02-14 21:31:43.085113,0 days 00:00:01.234180,0.9770587371172046,0.21641579915002512,5,249,0.8437090498170055,COMPLETE
